Scene Name,Total Samples,Correct,Incorrect,Accuracy (%)
corridor_01,100,40,60,40.00
corridor_02,100,33,67,33.00
corridor_03,100,38,62,38.00
corridor_04,100,35,65,35.00
corridor_05,100,40,60,40.00
corridor_06,100,39,61,39.00
corridor_07,100,37,63,37.00
corridor_08,100,31,69,31.00
corridor_09,100,32,68,32.00
corridor_10,100,37,63,37.00
factory_01,100,33,67,33.00
factory_02,100,33,67,33.00
factory_03,100,37,63,37.00
factory_04,100,31,69,31.00
factory_05,100,36,64,36.00
factory_06,100,30,70,30.00
factory_07,100,32,68,32.00
factory_08,100,36,64,36.00
kitchen_01,100,35,65,35.00
kitchen_02,100,38,62,38.00
kitchen_03,100,42,58,42.00
kitchen_04,100,33,67,33.00
kitchen_05,100,39,61,39.00
kitchen_06,100,32,68,32.00
kitchen_07,100,38,62,38.00
kitchen_08,100,35,65,35.00
lab_01,100,37,63,37.00
lab_02,100,39,61,39.00
lab_03,100,37,63,37.00
lab_04,100,36,64,36.00
lab_05,100,34,66,34.00
lab_06,100,36,64,36.00
lab_07,100,41,59,41.00
lab_08,100,33,67,33.00
lab_09,100,32,68,32.00
lab_10,100,28,72,28.00
lab_11,100,32,68,32.00
lectureroom_01,100,37,63,37.00
lectureroom_02,100,37,63,37.00
lectureroom_03,100,32,68,32.00
lectureroom_04,100,36,64,36.00
lectureroom_05,100,36,64,36.00
lectureroom_06,100,35,65,35.00
lectureroom_07,100,32,68,32.00
lectureroom_08,100,33,67,33.00
lectureroom_09,100,46,54,46.00
lectureroom_10,100,36,64,36.00
livingroom_01,100,38,62,38.00
livingroom_02,100,45,55,45.00
livingroom_03,100,30,70,30.00
livingroom_04,100,43,57,43.00
livingroom_05,100,40,60,40.00
livingroom_06,100,28,72,28.00
livingroom_07,100,38,62,38.00
livingroom_08,100,33,67,33.00
livingroom_09,100,33,67,33.00
livingroom_10,100,33,67,33.00
livingroom_11,100,35,65,35.00
livingroom_12,100,33,67,33.00
livingroom_13,100,35,65,35.00
livingroom_14,100,39,61,39.00
livingroom_15,100,40,60,40.00
meetingroom_01,100,27,73,27.00
meetingroom_02,100,35,65,35.00
meetingroom_03,100,42,58,42.00
meetingroom_04,100,36,64,36.00
meetingroom_05,100,33,67,33.00
meetingroom_06,100,35,65,35.00
meetingroom_07,100,36,64,36.00
meetingroom_08,100,33,67,33.00
office_01,100,37,63,37.00
office_02,100,37,63,37.00
office_03,100,38,62,38.00
office_04,100,42,58,42.00
office_05,100,41,59,41.00
office_06,100,30,70,30.00
office_07,100,40,60,40.00
office_08,100,32,68,32.00
restaurant_01,100,34,66,34.00
restaurant_02,100,38,62,38.00
restaurant_03,100,40,60,40.00
restaurant_04,100,35,65,35.00
restaurant_05,100,32,68,32.00
restaurant_06,100,34,66,34.00
restaurant_07,100,31,69,31.00
restaurant_08,100,35,65,35.00
restaurant_09,100,35,65,35.00
restaurant_10,100,32,68,32.00
restaurant_11,100,29,71,29.00
restaurant_12,100,28,72,28.00
restroom_01,100,39,61,39.00
restroom_02,100,37,63,37.00
storageroom_01,100,37,63,37.00
storageroom_02,100,37,63,37.00
storageroom_03,100,39,61,39.00
storageroom_04,100,37,63,37.00
storageroom_05,100,33,67,33.00
storageroom_06,100,35,65,35.00
storageroom_07,100,35,65,35.00
storageroom_08,100,31,69,31.00
