Scene Name,Total Samples,Correct,Incorrect,Accuracy (%)
corridor_01,100,11,89,11.00
corridor_02,100,7,93,7.00
corridor_03,100,39,61,39.00
corridor_04,100,3,97,3.00
corridor_05,100,7,93,7.00
corridor_06,100,100,0,100.00
corridor_07,100,1,99,1.00
corridor_08,100,31,69,31.00
corridor_09,100,65,35,65.00
corridor_10,100,0,100,0.00
factory_01,100,68,32,68.00
factory_02,100,17,83,17.00
factory_03,100,20,80,20.00
factory_04,100,16,84,16.00
factory_05,100,15,85,15.00
factory_06,100,72,28,72.00
factory_07,100,42,58,42.00
factory_08,100,40,60,40.00
kitchen_01,100,20,80,20.00
kitchen_02,100,12,88,12.00
kitchen_03,100,3,97,3.00
kitchen_04,100,32,68,32.00
kitchen_05,100,14,86,14.00
kitchen_06,100,27,73,27.00
kitchen_07,100,52,48,52.00
kitchen_08,100,26,74,26.00
lab_01,100,49,51,49.00
lab_02,100,18,82,18.00
lab_03,100,58,42,58.00
lab_04,100,32,68,32.00
lab_05,100,8,92,8.00
lab_06,100,21,79,21.00
lab_07,100,6,94,6.00
lab_08,100,5,95,5.00
lab_09,100,51,49,51.00
lab_10,100,16,84,16.00
lab_11,100,4,96,4.00
lectureroom_01,100,19,81,19.00
lectureroom_02,100,16,84,16.00
lectureroom_03,100,86,14,86.00
lectureroom_04,100,10,90,10.00
lectureroom_05,100,48,52,48.00
lectureroom_06,100,5,95,5.00
lectureroom_07,100,5,95,5.00
lectureroom_08,100,0,100,0.00
lectureroom_09,100,1,99,1.00
lectureroom_10,100,23,77,23.00
livingroom_01,100,35,65,35.00
livingroom_02,100,39,61,39.00
livingroom_03,100,49,51,49.00
livingroom_04,100,31,69,31.00
livingroom_05,100,53,47,53.00
livingroom_06,100,57,43,57.00
livingroom_07,100,49,51,49.00
livingroom_08,100,24,76,24.00
livingroom_09,100,56,44,56.00
livingroom_10,100,34,66,34.00
livingroom_11,100,41,59,41.00
livingroom_12,100,66,34,66.00
livingroom_13,100,50,50,50.00
livingroom_14,100,43,57,43.00
livingroom_15,100,42,58,42.00
meetingroom_01,100,20,80,20.00
meetingroom_02,100,21,79,21.00
meetingroom_03,100,8,92,8.00
meetingroom_04,100,27,73,27.00
meetingroom_05,100,55,45,55.00
meetingroom_06,100,36,64,36.00
meetingroom_07,100,34,66,34.00
meetingroom_08,100,25,75,25.00
office_01,100,24,76,24.00
office_02,100,42,58,42.00
office_03,100,15,85,15.00
office_04,100,17,83,17.00
office_05,100,14,86,14.00
office_06,100,43,57,43.00
office_07,100,35,65,35.00
office_08,100,14,86,14.00
restaurant_01,100,1,99,1.00
restaurant_02,100,28,72,28.00
restaurant_03,100,87,13,87.00
restaurant_04,100,43,57,43.00
restaurant_05,100,21,79,21.00
restaurant_06,100,36,64,36.00
restaurant_07,100,64,36,64.00
restaurant_08,100,79,21,79.00
restaurant_09,100,12,88,12.00
restaurant_10,100,9,91,9.00
restaurant_11,100,28,72,28.00
restaurant_12,100,89,11,89.00
restroom_01,100,34,66,34.00
restroom_02,100,34,66,34.00
storageroom_01,100,5,95,5.00
storageroom_02,100,11,89,11.00
storageroom_03,100,39,61,39.00
storageroom_04,100,0,100,0.00
storageroom_05,100,32,68,32.00
storageroom_06,100,37,63,37.00
storageroom_07,100,2,98,2.00
storageroom_08,100,100,0,100.00
