Scene Name,Total Points,Correct Count,Incorrect Count,Accuracy (%)
corridor_01,100,4,96,4.00
corridor_02,100,0,100,0.00
corridor_03,100,22,78,22.00
corridor_04,100,0,100,0.00
corridor_05,100,0,100,0.00
corridor_06,100,100,0,100.00
corridor_07,100,0,100,0.00
corridor_08,100,1,99,1.00
corridor_09,100,34,66,34.00
corridor_10,100,0,100,0.00
factory_01,100,76,24,76.00
factory_02,100,0,100,0.00
factory_03,100,0,100,0.00
factory_04,100,5,95,5.00
factory_05,100,0,100,0.00
factory_06,100,56,44,56.00
factory_07,100,49,51,49.00
factory_08,100,35,65,35.00
kitchen_01,100,7,93,7.00
kitchen_02,100,41,59,41.00
kitchen_03,100,1,99,1.00
kitchen_04,100,15,85,15.00
kitchen_05,100,50,50,50.00
kitchen_06,100,1,99,1.00
kitchen_07,100,59,41,59.00
kitchen_08,100,11,89,11.00
lab_01,100,0,100,0.00
lab_02,100,2,98,2.00
lab_03,100,34,66,34.00
lab_04,100,8,92,8.00
lab_05,100,26,74,26.00
lab_06,100,2,98,2.00
lab_07,100,10,90,10.00
lab_08,100,14,86,14.00
lab_09,100,11,89,11.00
lab_10,100,13,87,13.00
lab_11,100,5,95,5.00
lectureroom_01,100,7,93,7.00
lectureroom_02,100,16,84,16.00
lectureroom_03,100,100,0,100.00
lectureroom_04,100,5,95,5.00
lectureroom_05,100,11,89,11.00
lectureroom_06,100,9,91,9.00
lectureroom_07,100,0,100,0.00
lectureroom_08,100,0,100,0.00
lectureroom_09,100,17,83,17.00
lectureroom_10,100,16,84,16.00
livingroom_01,100,1,99,1.00
livingroom_02,100,27,73,27.00
livingroom_03,100,0,100,0.00
livingroom_04,100,9,91,9.00
livingroom_05,100,1,99,1.00
livingroom_06,100,15,85,15.00
livingroom_07,100,7,93,7.00
livingroom_08,100,13,87,13.00
livingroom_09,100,4,96,4.00
livingroom_10,100,22,78,22.00
livingroom_11,100,29,71,29.00
livingroom_12,100,55,45,55.00
livingroom_13,100,30,70,30.00
livingroom_14,100,62,38,62.00
livingroom_15,100,28,72,28.00
meetingroom_01,100,6,94,6.00
meetingroom_02,100,12,88,12.00
meetingroom_03,100,0,100,0.00
meetingroom_04,100,14,86,14.00
meetingroom_05,100,37,63,37.00
meetingroom_06,100,35,65,35.00
meetingroom_07,100,26,74,26.00
meetingroom_08,100,29,71,29.00
office_01,100,12,88,12.00
office_02,100,45,55,45.00
office_03,100,3,97,3.00
office_04,100,23,77,23.00
office_05,100,42,58,42.00
office_06,100,16,84,16.00
office_07,100,11,89,11.00
office_08,100,10,90,10.00
restaurant_01,100,0,100,0.00
restaurant_02,100,0,100,0.00
restaurant_03,100,16,84,16.00
restaurant_04,100,32,68,32.00
restaurant_05,100,48,52,48.00
restaurant_06,100,5,95,5.00
restaurant_07,100,64,36,64.00
restaurant_08,100,4,96,4.00
restaurant_09,100,6,94,6.00
restaurant_10,100,4,96,4.00
restaurant_11,100,0,100,0.00
restaurant_12,100,71,29,71.00
restroom_01,100,23,77,23.00
restroom_02,100,25,75,25.00
storageroom_01,100,18,82,18.00
storageroom_02,100,4,96,4.00
storageroom_03,100,5,95,5.00
storageroom_04,100,42,58,42.00
storageroom_05,100,27,73,27.00
storageroom_06,100,3,97,3.00
storageroom_07,100,53,47,53.00
storageroom_08,100,76,24,76.00

OVERALL,10000,2023,7977,20.23
